CPF;NOME;IDADE;SEXO;CIDADE
77777777777;Noah Moraes;4;M;Oslo
11111111111;Marcelo Lopes;37;M;Hortolândia
22222222222;Maria Lopes;27;F;Campinas
33333333333;Marcos Lopes;25;M;Hortolândia
44444444444;Marcos Lopes;25;M;Hortolândia
55555555555;Marcos Lopes;25;M;Hortolândia
66666666666;Marcos Lopes;25;M;Hortolândia
11111111111;Marcelo Lopes;37;M;Hortolândia
22222222222;Maria Lopes;27;F;Campinas
33333333333;Marcos Lopes;25;M;Hortolândia
44444444444;Marcos Lopes;25;M;Hortolândia
55555555555;Marcos Lopes;25;M;Hortolândia
66666666666;Marcos Lopes;25;M;Hortolândia
11111111111;Marcelo Lopes;37;M;Hortolândia
22222222222;Maria Lopes;27;F;Campinas
33333333333;Marcos Lopes;25;M;Hortolândia
44444444444;Marcos Lopes;25;M;Hortolândia
55555555555;Marcos Lopes;25;M;Hortolândia
11111111111;Marcelo Lopes;37;M;Hortolândia
22222222222;Maria Lopes;27;F;Campinas
44444444444;Marcos Lopes;25;M;Hortolândia
55555555555;Marcos Lopes;25;M;Hortolândia
